id;nom;nom_majus;cp;insee;dept;lat;long;distance
3564;Cabrespine;CABRESPINE;11160;11056;91;43.366667;2.466667;1.71
3565;Cahuzac;CAHUZAC;11420;11057;91;43.183333;1.85;1.77
3566;Cailhau;CAILHAU;11240;11058;91;43.15;2.133333;1.57
3567;Cailhavel;CAILHAVEL;11240;11059;91;43.166667;2.116667;1.44
3568;Cailla;CAILLA;11140;11060;91;42.816667;2.2;2.07
3569;Cambieure;CAMBIEURE;11240;11061;91;43.116667;2.133333;1.47
3570;Campagna-de-Sault;CAMPAGNA DE SAULT;11140;11062;91;42.766667;2.05;2.41
3571;Campagne-sur-Aude;CAMPAGNE SUR AUDE;11260;11063;91;42.916667;2.2;1.38
3572;Camplong-d'Aude;CAMPLONG D AUDE;11200;11064;91;43.133333;2.65;1.92
3573;Camps-sur-l'Agly;CAMPS SUR L AGLY;11190;11065;91;42.866667;2.433333;1.75
3574;Camurac;CAMURAC;11340;11066;91;42.8;1.916667;2.18
3575;Capendu;CAPENDU;11700;11068;91;43.183333;2.566667;1.57
3576;Carcassonne;CARCASSONNE;11000;11069;91;43.216667;2.35;0.68
3577;Carlipa;CARLIPA;11170;11070;91;43.3;2.116667;1.25
3578;Cascastel-des-Corbières;CASCASTEL DES CORBIERES;11360;11071;91;42.983333;2.75;1.61
3579;La Cassaigne;LA CASSAIGNE;11270;11072;91;43.2;2;1.2
3580;Cassaignes;CASSAIGNES;11190;11073;91;42.95;2.3;1.15
3581;Les Cassés;LES CASSES;11320;11074;91;43.433333;1.866667;2.17
3582;Castans;CASTANS;11160;11075;91;43.4;2.483333;1.94
3583;Castelnaudary;CASTELNAUDARY;11400;11076;91;43.316667;1.95;1.39
3584;Castelnau-d'Aude;CASTELNAU D AUDE;11700;11077;91;43.233333;2.683333;1.36
3585;Castelreng;CASTELRENG;11300;11078;91;43.033333;2.133333;0.7
3586;Caudebronde;CAUDEBRONDE;11390;11079;91;43.383333;2.3;1.83
3587;Caudeval;CAUDEVAL;11230;11080;91;43.066667;1.95;1.39
3588;Caunes-Minervois;CAUNES MINERVOIS;11160;11081;91;43.316667;2.533333;1.37
3589;Caunette-sur-Lauquet;CAUNETTE SUR LAUQUET;11250;11082;91;43.033333;2.433333;2.36
3590;Caunettes-en-Val;CAUNETTES EN VAL;11220;11083;91;43.066667;2.55;0.86
3591;Caux-et-Sauzens;CAUX ET SAUZENS;11170;11084;91;43.233333;2.25;1.3
3592;Cavanac;CAVANAC;11570;11085;91;43.166667;2.333333;1.41
3593;Caves;CAVES;11510;11086;91;42.933333;2.983333;2.48
3594;Cazalrenoux;CAZALRENOUX;11270;11087;91;43.2;1.95;1.39
3595;Cenne-Monestiès;CENNE MONESTIES;11170;11089;91;43.333333;2.116667;1.52
3596;Cépie;CEPIE;11300;11090;91;43.1;2.25;1.47
3597;Chalabre;CHALABRE;11230;11091;91;42.983333;2;1.2
3598;Citou;CITOU;11160;11092;91;43.383333;2.55;1.83
3599;Le Clat;LE CLAT;11140;11093;91;42.783333;2.166667;2.3
3600;Clermont-sur-Lauquet;CLERMONT SUR LAUQUET;11250;11094;91;43.05;2.416667;1.91
